k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k16	3	8, 11, 11, 16, 10, 15, 3, 12, 6, 9, 9, 7, 9, 10, 8, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.96, 0.99, 1, 0.99, 0.99, 0.93, 1, 1, 1, 0.99, 0.95, 0.97, 0.98, 0.98, 1, 0.99	0.97, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	65.38	0.56	0.96	2.72	0.99
k17	3	8, 11, 9, 16, 10, 15, 4, 6, 10, 6, 8, 9, 8, 7, 10, 7, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.96, 0.97, 1, 0.99, 0.99, 0.93, 1, 0.99, 0.99, 1, 1, 0.99, 0.95, 0.96, 0.98, 1.01, 0.99	0.97, 1, 1, 1, 1, 0.93, 1, 1, 1, 1, 1, 1, 1, 0.96, 1, 1, 1	0.99	0.98	64.83	0.56	0.95	2.78	0.99
k18	3	8, 11, 4, 9, 10, 18, 4, 6, 5, 6, 8, 14, 10, 8, 6, 9, 8, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.96, 0.97, 1, 0.99, 0.99, 0.94, 1, 0.99, 1, 1, 1, 1, 0.99, 0.95, 0.96, 0.98, 1, 0.99	0.97, 1, 1, 1, 1, 0.95, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	64.51	0.56	0.96	2.82	0.99
k19	3	9, 8, 4, 9, 10, 18, 4, 6, 9, 7, 6, 7, 9, 8, 9, 5, 8, 8, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.97, 0.98, 1, 0.99, 0.99, 0.94, 1, 0.99, 0.99, 1, 0.99, 0.99, 0.99, 0.95, 0.99, 0.99, 0.98, 1, 0.99	0.99, 1, 1, 1, 1, 0.95, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	64.19	0.56	0.96	2.89	0.99
k20	3	9, 8, 4, 9, 10, 10, 4, 6, 9, 8, 7, 6, 7, 11, 8, 9, 5, 6, 8, 8	0.78	0	1, 1, 1, 1, 1.01, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.27, 1	0.97, 0.98, 1, 0.99, 0.99, 0.93, 1, 0.99, 0.99, 0.96, 1, 0.99, 0.99, 0.98, 0.95, 0.99, 0.99, 0.98, 1, 0.99	0.99, 1, 1, 1, 1, 0.94, 1, 1, 1, 0.98, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1	0.99	0.98	63.81	0.56	0.94	2.96	0.99
k4	4	31, 64, 39, 18	0.24	0	0.92, 1.24, 1.13, 1.16	0.49, 0.78, 0.95, 0.89	0.51, 0.79, 1, 0.93	0.92	0.78	49.09	0.17	0.84	1.29	0.84
k5	4	28, 45, 28, 33, 18	0.23	0	0.92, 1.11, 1.17, 1.07, 1.16	0.46, 0.85, 0.7, 0.95, 0.89	0.5, 0.9, 0.69, 1, 0.93	0.91	0.78	48.73	0.16	0.8	1.57	0.85
k6	4	25, 28, 27, 23, 31, 18	0.17	0	0.92, 1.07, 1.17, 1.17, 1.07, 1.16	0.45, 0.81, 0.69, 0.88, 0.95, 0.89	0.48, 0.84, 0.69, 0.94, 1, 0.93	0.9	0.78	48.48	0.1	0.79	1.78	0.86
k7	4	26, 21, 25, 18, 25, 18, 19	0.17	0	0.92, 1.07, 1.08, 1.15, 1.07, 1.16, 1.17	0.46, 0.82, 0.65, 0.87, 0.96, 0.89, 0.92	0.49, 0.88, 0.65, 0.93, 1, 0.93, 0.97	0.9	0.78	48.51	0.1	0.79	1.93	0.86
k8	4	26, 21, 25, 18, 30, 17, 8, 7	0.17	0	0.92, 1.07, 1.08, 1.15, 1.13, 1.16, 1.17, 1.07	0.46, 0.82, 0.65, 0.87, 0.96, 0.9, 0.92, 0.88	0.49, 0.88, 0.65, 0.93, 1, 0.94, 0.97, 0.93	0.9	0.78	48.16	0.1	0.8	1.99	0.87
